,Job1,Job1Year,Job2,Job2Year,Job3,Job3Year,Job4,Job4Year,Job5,Job5Year,Job6,Job6Year,Job7,Job7Year,Job8,Job8Year,Job9,Job9Year,Job10,Job10Year
30,Technical Staff,9.0,Systems Administrator,4.0,Software Engineer,4.0,Analyst,4.0,Analyst,10.0,Analyst,8.0,Systems Administrator,1.0,Software Engineer,1.0,,,,
31,Software Engineer,38.0,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,Medical-related,7.0,Director/Manager,2.0,,,,,,,,,,,,,,,,
34,Software Engineer,2.0,Director/Manager,1.0,Vice President,14.0,CEO,3.0,Partner,20.0,President,7.0,,,,,,,,
35,Marketing,2.0,Marketing,4.0,Vice President,2.0,CEO,5.0,President,5.0,Consultant/Advisor,5.0,,,,,,,,
36,Director/Manager,14.0,Sales,2.0,Director/Manager,3.0,Account Management,1.0,Account Management,1.0,Director/Manager,1.0,Director/Manager,1.0,Software Engineer,3.0,*Outlier*,11.0,,
37,Founder/Owner,13.0,Founder/Owner,6.0,Founder/Owner,13.0,,,,,,,,,,,,,,
38,Software Engineer,9.0,Director/Manager,8.0,Project Manager,11.0,Director/Manager,9.0,Project Manager,8.0,*Outlier*,6.0,Director/Manager,6.0,Officer,5.0,*Outlier*,4.0,,
39,Vice President,13.0,Vice President,2.0,Director/Manager,1.0,Marketing,10.0,,,,,,,,,,,,
40,Software Engineer,1.0,*Outlier*,18.0,Project Manager,5.0,*Outlier*,4.0,Director/Manager,4.0,Software Engineer,6.0,*Outlier*,4.0,,,,,,
41,Professor,3.0,Technical Staff,6.0,Analyst,4.0,Software Engineer,5.0,Consultant/Advisor,8.0,Software Engineer,4.0,,,,,,,,
42,Medical-related,5.0,Professor,5.0,Professor,7.0,Founder/Owner,4.0,Medical-related,5.0,Officer,9.0,Consultant/Advisor,1.0,Officer,3.0,Founder/Owner,5.0,,
43,Technical Staff,19.0,Associate,1.0,Intern,18.0,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,
45,Software Engineer,14.0,Tech Director,2.0,Tech Director,3.0,Founder/Owner,10.0,Data Science,2.0,Analyst,4.0,Founder/Owner,17.0,,,,,,
46,Director/Manager,27.0,Partner,7.0,,,,,,,,,,,,,,,,
47,Consultant/Advisor,4.0,Systems Administrator,7.0,Tech Director,4.0,Software Engineer,4.0,President,5.0,,,,,,,,,,
48,Software Engineer,7.0,Software Engineer,12.0,,,,,,,,,,,,,,,,
49,Consultant/Advisor,4.0,Vice President,13.0,Vice President,3.0,Vice President,5.0,Vice President,8.0,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,Project Manager,2.0,Marketing,3.0,Marketing,5.0,Consultant/Advisor,5.0,Partner,6.0,Consultant/Advisor,13.0,,,,,,,,
52,Software Engineer,5.0,Tech Director,2.0,Teacher,3.0,Research Scientist,1.0,Software Engineer,5.0,Software Engineer,3.0,Teacher,2.0,,,,,,
53,Director/Manager,3.0,,,,,,,,,,,,,,,,,,
54,Project Manager,5.0,Director/Manager,1.0,Director/Manager,2.0,Vice President,3.0,Vice President,6.0,Vice President,1.0,Director/Manager,7.0,Marketing,1.0,,,,
55,Software Engineer,7.0,Software Engineer,13.0,Software Engineer,1.0,Project Manager,10.0,Research Scientist,10.0,Software Engineer,9.0,*Outlier*,2.0,Software Engineer,2.0,,,,
56,Marketing,4.0,Vice President,7.0,Director/Manager,7.0,President,2.0,Director/Manager,7.0,Director/Manager,2.0,,,,,,,,
57,Software Engineer,11.0,Software Engineer,2.0,Software Engineer,16.0,User Experience,5.0,,,,,,,,,,,,
58,Director/Manager,5.0,Project Manager,3.0,Marketing,7.0,Marketing,3.0,Marketing,1.0,Director/Manager,1.0,,,,,,,,
59,Director/Manager,11.0,Director/Manager,20.0,,,,,,,,,,,,,,,,
60,Software Engineer,1.0,Software Engineer,9.0,Software Engineer,21.0,Consultant/Advisor,4.0,Software Engineer,1.0,,,,,,,,,,
61,Associate,6.0,*Outlier*,25.0,,,,,,,,,,,,,,,,
62,Tech Director,2.0,Vice President,2.0,Consultant/Advisor,8.0,Software Engineer,1.0,Tech Director,4.0,*Outlier*,5.0,,,,,,,,
63,Tech Director,13.0,Project Manager,6.0,Software Engineer,7.0,Consultant/Advisor,1.0,Software Engineer,8.0,Software Engineer,2.0,,,,,,,,
64,Project Manager,6.0,Attorney,4.0,Attorney,1.0,Partner,4.0,Partner,14.0,,,,,,,,,,
65,Software Engineer,6.0,Software Engineer,11.0,Software Engineer,6.0,Software Engineer,2.33,Software Engineer,6.25,,,,,,,,,,
66,Technical Staff,6.0,Software Engineer,10.0,Director/Manager,4.0,Software Engineer,4.0,Project Manager,1.58,Project Manager,9.33,Consultant/Advisor,1.5,Consultant/Advisor,5.25,Consultant/Advisor,2.5,,
67,Project Manager,15.0,,,,,,,,,,,,,,,,,,
68,Tech Director,6.83,,,,,,,,,,,,,,,,,,
69,Sales,5.0,Sales,5.5,Sales,1.25,Vice President,18.92,Vice President,2.92,Vice President,1.5,Vice President,1.0,,,,,,
70,Software Engineer,3.0,Project Manager,9.0,President,14.0,Officer,9.5,Consultant/Advisor,1.58,,,,,,,,,,
71,Tech Director,12.33,Tech Director,7.5,President,1.0,Tech Director,3.83,Software Engineer,9.5,,,,,,,,,,
72,Consultant/Advisor,11.0,Software Engineer,2.0,Software Engineer,4.0,Consultant/Advisor,3.0,Software Engineer,11.83,Director/Manager,3.08,Vice President,1.75,Vice President,9.5,,,,
73,Software Engineer,11.08,*Outlier*,14.75,*Outlier*,2.83,,,,,,,,,,,,,,
74,Founder/Owner,11.75,,,,,,,,,,,,,,,,,,
75,Analyst,2.0,*Outlier*,2.0,President,3.0,Founder/Owner,20.0,President,10.33,,,,,,,,,,
76,Software Engineer,4.33,Consultant/Advisor,10.0,Consultant/Advisor,11.0,Consultant/Advisor,2.08,Director/Manager,3.67,,,,,,,,,,
77,Software Engineer,7.17,Software Engineer,9.33,Vice President,2.58,Founder/Owner,2.08,Systems Administrator,3.08,Software Engineer,1.58,Software Engineer Intern,5.0,Teacher,4.0,Software Engineer,2.0,,
78,Software Engineer,3.25,Director/Manager,1.5,Director/Manager,9.0,Director/Manager,16.33,Director/Manager,7.0,Software Engineer,3.75,,,,,,,,
79,Software Engineer,4.25,Director/Manager,29.0,,,,,,,,,,,,,,,,
80,Professor,16.17,,,,,,,,,,,,,,,,,,
81,Consultant/Advisor,6.25,Project Manager,15.67,Project Manager,1.33,Consultant/Advisor,2.33,Director/Manager,2.42,Director/Manager,11.0,Director/Manager,8.0,Director/Manager,8.0,,,,
82,Software Engineer,4.0,Software Engineer,7.0,Director/Manager,1.0,Vice President,2.0,Vice President,4.0,Director/Manager,17.75,,,,,,,,
83,Software Engineer,1.0,Software Engineer,3.0,Director/Manager,5.0,Director/Manager,1.0,Tech Director,3.0,Director/Manager,14.17,Vice President,1.33,Director/Manager,9.17,,,,
84,Director/Manager,12.0,Director/Manager,3.0,Director/Manager,4.0,Consultant/Advisor,11.0,Project Manager,3.0,,,,,,,,,,
85,Tech Director,15.0,Director/Manager,2.0,Software Engineer,1.08,,,,,,,,,,,,,,
86,Software Engineer,4.0,Consultant/Advisor,2.0,Director/Manager,4.42,Founder/Owner,6.83,Founder/Owner,11.0,Founder/Owner,20.58,,,,,,,,
87,Software Engineer,11.5,Software Engineer,20.08,Tech Director,1.42,,,,,,,,,,,,,,
88,Medical-related,4.0,Medical-related,25.92,,,,,,,,,,,,,,,,
89,Software Engineer,2.0,Software Engineer,4.0,Project Manager,3.0,Director/Manager,8.0,Director/Manager,17.0,Research Scientist,5.0,Director/Manager,14.0,Data Science,5.08,,,,
90,Software Engineer,4.08,Software Engineer,4.0,Software Engineer,8.0,Software Engineer,10.0,Director/Manager,10.83,Software Engineer,2.08,,,,,,,,
91,Software Engineer,8.0,Software Engineer,1.75,Project Manager,11.0,Software Engineer Intern,8.17,Software Engineer,2.0,Software Engineer,6.42,Software Engineer,8.42,,,,,,
92,Partner,14.0,Partner,4.0,Partner,13.0,Director/Manager,8.33,,,,,,,,,,,,
93,Technical Staff,4.0,Marketing,11.0,Founder/Owner,15.0,,,,,,,,,,,,,,
94,Director/Manager,9.0,Director/Manager,3.75,Project Manager,1.17,Director/Manager,4.67,,,,,,,,,,,,
95,Editor,1.0,Project Manager,3.0,Project Manager,7.0,Project Manager,1.17,Teacher,12.58,Project Manager,4.33,Web Developer,11.5,Director/Manager,10.33,Project Manager,2.75,,
96,Marketing,5.08,Director/Manager,10.0,Director/Manager,5.58,*Outlier*,20.67,Teacher,13.67,,,,,,,,,,
97,Software Engineer,12.0,Software Engineer,1.0,Consultant/Advisor,2.0,Software Engineer,6.0,Consultant/Advisor,22.0,Software Engineer,15.0,Consultant/Advisor,15.0,,,,,,
98,Director/Manager,6.0,Vice President,2.0,Vice President,18.0,Director/Manager,4.0,Consultant/Advisor,1.0,Board Member,2.0,CTO,1.0,,,,,,
99,Marketing,22.42,Officer,3.08,Vice President,6.08,Partner,1.42,,,,,,,,,,,,
100,*Outlier*,2.0,*Outlier*,11.0,Director/Manager,1.0,Software Engineer,1.08,Director/Manager,6.0,Director/Manager,12.58,,,,,,,,
101,Software Engineer,3.0,Software Engineer,20.0,Consultant/Advisor,12.0,,,,,,,,,,,,,,
102,Software Engineer,4.58,Research Scientist,3.17,Software Engineer,2.92,Software Engineer,1.67,Software Engineer,2.92,Director/Manager,14.17,Director/Manager,11.0,Director/Manager,4.58,Vice President,3.0,,
103,Analyst,2.0,Vice President,5.0,Vice President,6.0,Director/Manager,5.0,Director/Manager,5.0,Director/Manager,11.0,Director/Manager,2.0,,,,,,
104,Software Engineer,1.08,Vice President,3.58,Board Member,6.0,Founder/Owner,11.0,Tech Director,3.42,Tech Director,2.58,Director/Manager,1.5,Vice President,10.08,,,,
105,Analyst,19.0,Software Engineer,8.75,Software Engineer,7.0,,,,,,,,,,,,,,
106,Analyst,5.0,Tech Director,4.0,Director/Manager,1.0,Marketing,4.0,Founder/Owner,13.0,Marketing,5.5,,,,,,,,
107,Teacher,5.67,Software Engineer,1.83,Software Engineer,7.5,,,,,,,,,,,,,,
108,Software Engineer,7.0,Tech Director,6.0,Tech Director,3.25,Tech Director,7.25,Vice President,13.75,,,,,,,,,,
109,Director/Manager,2.0,Director/Manager,4.0,Director/Manager,4.0,Vice President,10.33,Consultant/Advisor,6.17,,,,,,,,,,
110,Project Manager,4.0,Director/Manager,3.0,Marketing,1.0,Project Manager,2.0,Project Manager,1.0,Director/Manager,2.0,Project Manager,11.0,,,,,,
111,Teacher,9.83,Professor,6.08,*Outlier*,4.58,,,,,,,,,,,,,,
112,Director/Manager,16.0,,,,,,,,,,,,,,,,,,
113,Analyst,10.58,,,,,,,,,,,,,,,,,,
114,Consultant/Advisor,2.33,Director/Manager,7.17,Consultant/Advisor,9.0,Director/Manager,18.58,Teacher,5.33,,,,,,,,,,
115,Vice President,7.0,Director/Manager,6.0,Partner,1.58,,,,,,,,,,,,,,
116,Software Engineer,5.75,Consultant/Advisor,6.33,Software Engineer,6.33,Software Engineer,5.75,Intern,1.58,Software Engineer,4.17,,,,,,,,
117,Tech Director,6.75,Vice President,1.58,Director/Manager,7.0,Tech Director,4.0,Founder/Owner,6.17,,,,,,,,,,
118,Technical Staff,21.25,*Outlier*,3.0,Teacher,7.0,*Outlier*,1.08,,,,,,,,,,,,
119,Teacher,15.0,Teacher,11.0,Teacher,5.83,Software Engineer,9.0,,,,,,,,,,,,
120,Vice President,1.67,Partner,1.83,Director/Manager,2.75,*Outlier*,8.58,Vice President,4.42,Vice President,1.58,Consultant/Advisor,2.25,Vice President,2.42,Tech Director,4.17,Teacher,3.0
121,,,,,,,,,,,,,,,,,,,,
122,Attorney,1.0,CEO,12.0,CEO,30.0,,,,,,,,,,,,,,
123,Systems Administrator,1.17,Consultant/Advisor,2.33,Tech Director,4.42,Teacher,1.0,Teacher,6.0,Sales,1.08,Director/Manager,13.17,,,,,,
124,Associate,3.25,Tech Director,5.25,Director/Manager,2.33,Director/Manager,2.33,Vice President,3.08,Founder/Owner,4.0,Director/Manager,4.08,Founder/Owner,9.67,Vice President,3.75,,
125,Director/Manager,12.0,Vice President,1.25,Vice President,2.42,Vice President,7.0,Sales,1.25,Vice President,1.75,Sales,1.75,Director/Manager,2.33,Director/Manager,5.5,Tech Director,5.67
126,Research Scientist,2.08,Professor,1.0,Professor,11.08,Professor,14.58,*Outlier*,4.25,President,4.25,Vice President,4.0,*Outlier*,4.17,Fellow,2.0,Board Member,9.33
127,Founder/Owner,1.0,Investor,10.0,Vice President,1.0,Teacher,3.0,Director/Manager,1.0,Officer,2.0,Founder/Owner,14.0,Investor,12.0,Director/Manager,10.0,,
128,Attorney,31.58,,,,,,,,,,,,,,,,,,
129,Consultant/Advisor,2.25,Analyst,2.33,Officer,2.33,Officer,2.83,*Outlier*,1.08,Consultant/Advisor,5.0,Board Member,1.5,,,,,,
130,Software Engineer,9.33,Software Engineer,5.75,Director/Manager,4.92,Director/Manager,5.42,,,,,,,,,,,,
131,Software Engineer,10.0,Software Engineer,5.0,Software Engineer,18.75,,,,,,,,,,,,,,
132,Consultant/Advisor,5.0,Analyst,9.83,,,,,,,,,,,,,,,,
133,Software Engineer,6.0,Software Engineer,16.0,Software Engineer,24.0,Software Engineer,18.58,,,,,,,,,,,,
134,Analyst,1.0,Account Management,4.0,Vice President,11.0,Analyst,11.42,,,,,,,,,,,,
135,Systems Administrator,3.0,Vice President,2.0,Tech Director,2.0,Tech Director,1.0,Software Engineer,1.0,Tech Director,7.0,Director/Manager,9.58,,,,,,
136,Director/Manager,5.0,Founder/Owner,6.0,Consultant/Advisor,1.0,Tech Director,8.0,Founder/Owner,3.58,Project Manager,6.0,Founder/Owner,1.75,*Outlier*,11.0,,,,
137,Technical Staff,9.0,Director/Manager,1.42,Software Engineer,3.17,Tech Director,4.58,Vice President,1.42,Director/Manager,9.58,,,,,,,,
138,Vice President,25.42,Consultant/Advisor,8.75,,,,,,,,,,,,,,,,
139,Project Manager,2.67,Founder/Owner,2.08,Project Manager,3.0,Vice President,1.08,Tech Director,3.5,Director/Manager,4.17,Vice President,2.75,,,,,,
140,Software Engineer,3.0,Software Engineer,4.0,Software Engineer,2.0,Director/Manager,1.0,Consultant/Advisor,1.0,Software Engineer,4.0,Tech Director,7.5,Vice President,2.0,,,,
141,Software Engineer,7.08,Consultant/Advisor,8.08,Tech Director,7.17,Consultant/Advisor,6.0,Founder/Owner,12.0,,,,,,,,,,
142,Software Engineer,6.08,Professor,6.0,Research Scientist,1.0,Professor,4.83,Professor,6.0,Professor,5.17,,,,,,,,
143,Associate,3.0,Attorney,7.0,Attorney,1.0,Partner,17.58,,,,,,,,,,,,
144,Founder/Owner,17.0,,,,,,,,,,,,,,,,,,
145,Account Management,3.33,Account Management,6.92,Account Management,2.5,Account Management,3.92,Account Management,2.33,Account Management,1.25,,,,,,,,
146,Editor,8.67,,,,,,,,,,,,,,,,,,
147,Analyst,11.0,Analyst,7.58,Software Engineer,4.0,Software Engineer,10.17,Consultant/Advisor,10.83,,,,,,,,,,
148,Director/Manager,2.0,Vice President,6.0,Vice President,4.0,CTO,1.0,CTO,3.0,Consultant/Advisor,11.0,,,,,,,,
149,Founder/Owner,27.5,,,,,,,,,,,,,,,,,,
150,Software Engineer,11.0,Software Engineer,2.0,Tech Director,1.0,Software Engineer,1.0,Software Engineer,5.17,CEO,1.75,Software Engineer,3.67,Software Engineer,1.67,CEO,8.5,Software Engineer,1.83
151,Software Engineer,3.42,Software Engineer,2.08,Consultant/Advisor,2.58,Consultant/Advisor,8.0,Consultant/Advisor,4.92,Consultant/Advisor,5.42,Consultant/Advisor,8.0,Consultant/Advisor,2.67,Software Engineer,1.17,,
152,Vice President,9.0,Vice President,3.0,Director/Manager,1.0,Vice President,2.0,Tech Director,2.0,Tech Director,5.0,Software Engineer,5.0,,,,,,
153,Analyst,2.0,Software Engineer,1.0,Tech Director,1.0,Systems Administrator,7.0,Director/Manager,16.08,Project Manager,3.17,Project Manager,2.08,Project Manager,1.33,Project Manager,3.08,Project Manager,5.17
154,Consultant/Advisor,7.0,Founder/Owner,2.0,Partner,1.0,Founder/Owner,3.67,Founder/Owner,4.0,Vice President,4.0,Founder/Owner,1.5,President,1.0,Founder/Owner,8.83,Professor,2.0
155,Software Engineer,11.42,Director/Manager,10.0,Director/Manager,6.25,Vice President,4.58,Tech Director,2.25,Vice President,11.92,Consultant/Advisor,3.08,*Outlier*,5.17,,,,
156,Software Engineer,5.92,Project Manager,2.08,Director/Manager,1.33,Vice President,5.67,Vice President,12.0,Partner,2.25,,,,,,,,
157,Software Engineer,21.25,Software Engineer,10.58,,,,,,,,,,,,,,,,
158,Attorney,3.75,Attorney,4.08,Attorney,4.08,,,,,,,,,,,,,,
159,Technical Staff,7.17,Software Engineer,13.92,Software Engineer,11.83,,,,,,,,,,,,,,
160,Software Engineer,4.0,Vice President,5.33,Tech Director,3.0,Founder/Owner,1.0,CTO,9.17,Software Engineer,5.83,,,,,,,,
161,Software Engineer,14.0,Software Engineer,9.0,Intern,6.0,*Outlier*,9.0,Associate,5.0,Consultant/Advisor,1.83,Consultant/Advisor,1.75,,,,,,
162,Director/Manager,4.0,Vice President,5.0,Software Engineer,5.0,Officer,9.0,Teacher,10.0,Officer,5.0,,,,,,,,
163,Software Engineer,4.33,Director/Manager,8.08,Tech Director,6.25,Software Engineer,3.0,Teacher,8.0,Software Engineer,3.5,,,,,,,,
164,Software Engineer,5.58,Software Engineer,5.25,Software Engineer,3.75,Software Engineer,5.0,Software Engineer,5.33,Software Engineer,12.25,,,,,,,,
165,Consultant/Advisor,5.0,Director/Manager,1.0,Analyst,2.0,Director/Manager,2.0,Director/Manager,3.0,Consultant/Advisor,1.0,Software Engineer,7.0,Founder/Owner,7.0,Board Member,7.0,Tech Director,3.75
166,Director/Manager,6.0,Director/Manager,4.0,Director/Manager,4.42,Marketing,3.67,Marketing,1.75,Marketing,9.33,Marketing,1.67,Director/Manager,1.33,,,,
167,Vice President,30.0,,,,,,,,,,,,,,,,,,
168,Vice President,4.5,Vice President,6.25,Sales,5.92,Partner,15.0,,,,,,,,,,,,
169,CEO,5.0,President,6.0,President,3.0,President,1.0,President,3.0,President,6.0,Founder/Owner,15.08,Partner,14.0,Director/Manager,13.0,CEO,1.25
170,Director/Manager,5.0,Director/Manager,11.0,Consultant/Advisor,2.0,Tech Director,4.0,,,,,,,,,,,,
171,Associate,5.0,Partner,2.0,Attorney,3.0,Attorney,3.0,Attorney,3.33,Attorney,3.92,Consultant/Advisor,1.0,Attorney,1.92,,,,
172,Tech Director,10.0,Software Engineer,3.0,Founder/Owner,2.0,Software Engineer,6.5,Software Engineer,8.0,Software Engineer,1.25,Founder/Owner,9.17,,,,,,
173,Systems Administrator,1.0,Systems Administrator,5.0,President,11.0,Systems Administrator,9.0,Systems Administrator,1.0,Tech Director,19.0,Technical Staff,2.0,Software Engineer,12.0,Founder/Owner,15.0,Technical Staff,3.0
174,Systems Administrator,6.0,Systems Administrator,5.0,Software Engineer,3.0,Vice President,7.0,Systems Administrator,9.0,,,,,,,,,,
175,Medical-related,14.0,*Outlier*,4.0,*Outlier*,16.17,*Outlier*,3.42,Teacher,5.17,Teacher,4.17,Teacher,3.08,*Outlier*,1.83,,,,
176,Account Management,14.0,Account Management,1.0,Director/Manager,1.0,Director/Manager,5.0,Director/Manager,3.33,Director/Manager,2.17,Software Engineer,11.0,Director/Manager,2.75,,,,
177,Associate,2.08,*Outlier*,12.0,Project Manager,7.0,Consultant/Advisor,1.0,President,1.08,*Outlier*,4.0,Project Manager,8.0,Board Member,3.0,Consultant/Advisor,11.92,Project Manager,9.58
178,Software Engineer,3.92,Consultant/Advisor,22.67,Project Manager,1.33,,,,,,,,,,,,,,
179,Software Engineer,4.75,Software Engineer,14.5,,,,,,,,,,,,,,,,
180,Technical Staff,3.0,Technical Staff,1.0,Software Engineer,1.0,Technical Staff,2.0,Director/Manager,2.0,Tech Director,22.17,Tech Director,7.5,Vice President,3.0,,,,
181,Software Engineer,2.0,Software Engineer,1.0,Fellow,13.0,Director/Manager,4.0,Software Engineer,8.83,Software Engineer,2.33,Software Engineer,8.0,,,,,,
182,Project Manager,7.75,Director/Manager,5.33,Marketing,2.92,Marketing,4.67,Marketing,1.42,Director/Manager,4.75,Marketing,3.0,,,,,,
183,*Outlier*,3.0,*Outlier*,1.0,Intern,1.0,Intern,3.0,Project Manager,3.0,Project Manager,2.0,Founder/Owner,2.0,*Outlier*,7.33,*Outlier*,10.0,Director/Manager,7.58
184,Software Engineer,3.0,Analyst,4.0,Consultant/Advisor,1.0,Attorney,5.58,Attorney,4.08,Director/Manager,2.0,Director/Manager,5.08,Director/Manager,1.25,,,,
185,Software Engineer,13.17,,,,,,,,,,,,,,,,,,
186,Software Engineer,7.0,Software Engineer,9.0,Consultant/Advisor,8.0,Consultant/Advisor,11.0,Software Engineer,10.0,Software Engineer,3.58,Software Engineer,2.17,Software Engineer,1.67,Software Engineer,2.0,Software Engineer,5.0
187,Analyst,6.0,Founder/Owner,2.0,Tech Director,2.0,Tech Director,4.25,Analyst,2.17,Director/Manager,4.0,Tech Director,5.33,Tech Director,2.67,Tech Director,8.0,Project Manager,2.5
188,Tech Director,10.67,Director/Manager,7.0,Project Manager,10.08,Project Manager,8.17,,,,,,,,,,,,
189,Project Manager,6.42,Founder/Owner,2.67,Project Manager,4.67,Project Manager,2.08,Project Manager,1.5,Project Manager,1.0,Project Manager,1.08,Vice President,6.58,Vice President,7.0,Project Manager,2.25
190,Director/Manager,5.0,Founder/Owner,3.0,*Outlier*,3.0,Director/Manager,6.0,Director/Manager,1.0,Director/Manager,5.0,,,,,,,,
191,Attorney,1.92,Attorney,1.08,Attorney,17.67,Attorney,7.0,,,,,,,,,,,,
192,Marketing,5.0,Marketing,5.0,Medical-related,1.0,Web Developer,1.0,Marketing,2.0,Consultant/Advisor,1.0,Marketing,3.0,Marketing,1.0,Marketing,3.42,,
193,Consultant/Advisor,4.0,Systems Administrator,3.0,Software Engineer,2.0,Consultant/Advisor,2.0,Consultant/Advisor,5.0,Director/Manager,2.58,Project Manager,2.0,Project Manager,1.42,Project Manager,2.0,Tech Director,7.0
194,Software Engineer,3.83,Software Engineer,12.67,Software Engineer,8.08,,,,,,,,,,,,,,
195,Software Engineer,1.0,Software Engineer,5.83,Software Engineer,2.17,Software Engineer,5.08,Software Engineer,3.5,Software Engineer,3.5,Consultant/Advisor,1.08,Software Engineer,6.67,Technical Staff,1.5,,
196,Software Engineer,2.0,Tech Director,17.0,Tech Director,6.67,,,,,,,,,,,,,,
197,Director/Manager,7.0,Consultant/Advisor,3.0,Medical-related,4.0,Medical-related,2.33,Medical-related,3.0,*Outlier*,3.0,Medical-related,1.0,Professor,2.83,Medical-related,1.5,Teacher,6.0
198,Investor,6.42,Investor,1.67,Investor,4.58,Investor,2.25,,,,,,,,,,,,
199,Editor,3.0,Director/Manager,2.0,Teacher,5.0,Teacher,4.42,Board Member,9.25,Board Member,15.0,President,18.0,President,18.0,Professor,26.0,Teacher,8.5
200,Technical Staff,5.0,Analyst,1.0,Professor,1.0,Analyst,11.08,,,,,,,,,,,,
201,Marketing,8.0,Consultant/Advisor,1.08,Consultant/Advisor,9.0,Consultant/Advisor,5.0,Consultant/Advisor,4.0,Marketing,16.0,,,,,,,,
202,Software Engineer,1.83,Software Engineer,3.42,Software Engineer,2.17,Software Engineer,2.75,Technical Staff,4.92,Technical Staff,10.0,Software Engineer,3.0,Software Engineer,3.17,Tech Director,1.0,Vice President,4.25
203,User Experience,1.33,User Experience,2.17,CEO,2.83,User Experience,3.42,User Experience,6.17,Officer,7.17,Officer,1.58,,,,,,
204,Analyst,1.0,Research Scientist,3.0,Software Engineer,2.0,Professor,1.0,Teacher,4.0,Teacher,14.0,,,,,,,,
205,Intern,11.0,Software Engineer,5.0,Teacher,2.0,Founder/Owner,2.0,*Outlier*,10.33,Consultant/Advisor,7.0,Research Scientist,5.0,Professor,5.0,Consultant/Advisor,1.83,Teacher,2.5
206,Software Engineer,1.58,Software Engineer,7.0,Software Engineer,4.33,Software Engineer,2.33,Tech Director,1.33,Software Engineer,12.25,Software Engineer,7.83,,,,,,
207,Professor,3.0,CTO,1.42,Tech Director,1.75,President,5.33,Board Member,2.92,President,17.67,Board Member,8.58,Editor,8.83,Founder/Owner,13.08,President,1.67
208,Software Engineer,9.0,Software Engineer,2.75,Vice President,6.08,Vice President,1.5,Director/Manager,5.92,CEO,13.17,,,,,,,,
209,Software Engineer,1.25,Project Manager,6.17,Project Manager,2.42,Tech Director,13.0,Vice President,5.92,,,,,,,,,,
210,Software Engineer,1.0,Software Engineer,1.0,Software Engineer,2.83,Founder/Owner,9.25,Software Engineer,3.08,Software Engineer,14.58,,,,,,,,
